"counterpartName","transactionTimeUtc","amount","transactionType","transactionId"
"Ryde-Parramatta Golf Club","2024-06-11 21:14:18.368",-12,"CARD_TRANSACTION","fd1e101f-445f-4775-8b5f-47dcad1124f8"
"Mcdonalds 951018","2024-06-11 20:50:25.842",-3,"CARD_TRANSACTION","8611e308-3fb6-48d7-a7ca-cfbc6c26581f"
"McDonald's (Forest Lake)","2024-06-11 20:45:26.481",-47.75,"CARD_TRANSACTION","d1653524-1d05-47f4-8eed-05f2af765929"
"Zeller","2024-06-11 20:32:02.195",-7.25,"CARD_TRANSACTION","b142e4f8-9725-42b0-8cee-3471b123dd56"
"Afterpay","2024-06-11 19:23:00.326",-13.19,"CARD_TRANSACTION","245e63a1-2db2-448b-9d43-226b46829fc5"
"Afterpay","2024-06-11 18:01:35.366",-29.57,"CARD_TRANSACTION","a92f7f86-0150-4099-b711-046b6376b54b"
"HelloFresh","2024-06-11 15:03:11.534",-44.99,"CARD_TRANSACTION","b1f44ee0-2932-4d7c-9c41-406e6f0d0c3d"
"Optus","2024-06-11 14:04:54.663",-35,"CARD_TRANSACTION","d99c1984-4376-4f4a-8d46-17962b03dd53"
"Google Australia","2024-06-11 13:30:35.331",-9.99,"CARD_TRANSACTION","5824dd47-e8ef-4171-ad5f-92770e2da21c"
"Coles (Lynbrook)","2024-06-11 11:46:06.533",-49.07,"CARD_TRANSACTION","bca812d9-6103-4994-afca-dd08a3ede1d3"
"McDonald's (Greenacre North)","2024-06-11 09:23:48.514",-3.5,"CARD_TRANSACTION","0b3cde54-d205-41ad-8bcd-9680530f29a4"
"Dan Murphy's (Mandurah)","2024-06-11 09:00:12.995",-35.99,"CARD_TRANSACTION","31061dd4-d1e3-485e-b9ce-242cfbb9eebd"
"Northmead Pizzeria","2024-06-11 08:46:10.575",-32.25,"CARD_TRANSACTION","ad67074d-6b49-4596-8685-1ab1307a5012"
"Woolworths (North Parramatta)","2024-06-11 08:38:54.143",-20.75,"CARD_TRANSACTION","ef656f94-c488-4701-833c-b03e9a2a4285"
"Southvale Newsagency","2024-06-11 08:15:26.384",-26.52,"CARD_TRANSACTION","869b31a1-c2b8-40dc-abaf-d6c6759b6689"
"Woolworths (Epsom)","2024-06-11 08:04:08.296",-58.05,"CARD_TRANSACTION","787b3265-2d29-472b-9e6c-4ee839cf8691"
"Smart Dollar (Thornlie)","2024-06-11 07:55:57.878",-1,"CARD_TRANSACTION","b9c4ad3f-f79f-4f24-9876-399bf3993c35"
"Woolworths (Kippax Fair)","2024-06-11 07:31:23.399",-89.29,"CARD_TRANSACTION","04391f43-c3da-4530-80a7-a3751dfb2b42"
"Big W/parke Waratah Sts","2024-06-11 07:28:14.198",-61.6,"CARD_TRANSACTION","a035a8a4-6f40-4b24-b984-5c3dd07daed3"
"PETstock (Epsom)","2024-06-11 07:21:55.144",-15.8,"CARD_TRANSACTION","6ae86525-5944-4309-9c44-c2292f7deda1"
"Woolworths (Lisarow)","2024-06-11 07:10:23.881",-35.63,"CARD_TRANSACTION","d6f54439-6902-4c05-aee6-7da047d294b0"
"Coles (Helensburgh)","2024-06-11 07:06:03.810",-32.12,"CARD_TRANSACTION","e694be38-270e-4210-a7ed-fc21a5236f57"
"Woolworths (Kellyville)","2024-06-11 07:04:53.055",-21.15,"CARD_TRANSACTION","ea03a73b-0d70-421b-a802-00da01600773"
"Apple (App Store)","2024-06-11 07:03:27.661",-10.98,"CARD_TRANSACTION","1feeeecb-43e4-430c-8a8d-7e64431e67e3"
"Woolworths Metro (Leura)","2024-06-11 06:46:10.338",-35.7,"CARD_TRANSACTION","1a3cdf81-d1a4-47e5-8c0d-4b507eb66e61"
"Harris Farm Markets (Drummoyne)","2024-06-11 05:21:51.048",-15.98,"CARD_TRANSACTION","9320aa18-0f4f-45c2-9127-3c5891d9fd81"
"John Whiteing (Achilles Heel Podiatry)","2024-06-11 05:08:14.760",-10,"CARD_TRANSACTION","a09061f4-c1d5-4506-b9a4-c0c926c86e3d"
"Square","2024-06-11 05:01:56.054",-13.21,"CARD_TRANSACTION","0cba17eb-1008-4b25-84f6-01f8939ba151"
"Coles (Jimboomba)","2024-06-11 04:59:09.436",-48.69,"CARD_TRANSACTION","c4ac5482-dba0-4b15-a305-b0d4fbbc10b1"
"Smartpay Australia","2024-06-11 04:53:59.511",-11.13,"CARD_TRANSACTION","65828eaf-271d-4f5e-9d79-49e23f5a2bf1"
"Banjos Bakery Cafe (Lindisfarne)","2024-06-11 04:52:30.555",-13.15,"CARD_TRANSACTION","e284e47a-cc4a-4d42-9abf-e25134331cbc"
"Procut Meats","2024-06-11 04:43:17.101",-17.59,"CARD_TRANSACTION","cd93a222-3975-4d9e-ab92-9eae324cc3f2"
"Choice Discount Variety Stores (Helensvale)","2024-06-11 04:39:33.036",-33.25,"CARD_TRANSACTION","61647703-8850-4038-ba9c-b5a896701c09"
"Harry Juice & Co Pty Limited","2024-06-11 04:21:14.538",-10,"CARD_TRANSACTION","c6c67ba5-7710-4cc4-bc25-beaaec93ed88"
"Coles (Stockland Birtinya)","2024-06-11 03:54:53.031",-3.1,"CARD_TRANSACTION","264884b3-a66c-461a-a5d2-f118c6854791"
"Kmart (Grand Plaza Shopping Centre)","2024-06-11 03:51:58.161",-20.15,"CARD_TRANSACTION","80f9408b-484b-410a-90b6-c95c1a4901ba"
"Charlies Liquor Barn (Unanderra)","2024-06-11 03:35:24.028",-28.99,"CARD_TRANSACTION","05c90e80-8236-4a81-8606-368b878f3ddc"
"Virginia Discount Chemist","2024-06-11 03:34:48.636",-19.99,"CARD_TRANSACTION","c7be342e-4b55-471b-88e0-7926591494f0"
"Andrew Barton Laundry Systems","2024-06-11 03:34:14.033",-12,"CARD_TRANSACTION","54dcbff4-65b4-4a5a-900d-f14c35ff279a"
"Taking Shape (Browns Plains)","2024-06-11 03:20:29.926",-19,"CARD_TRANSACTION","a765a8fb-ba45-4b6a-b8ac-f7e5591bb473"
"Friendly Grocer (Deception Bay)","2024-06-11 03:20:00.092",-3.5,"CARD_TRANSACTION","c7eee883-ea19-445c-90f6-1ce2c344a249"
"Costi's Fish & Chips (Barangaroo)","2024-06-11 03:19:18.703",-15.04,"CARD_TRANSACTION","8fd99f31-09f3-432c-88ae-b9b5fc0593d4"
"Woolworths (Warrawong)","2024-06-11 03:14:59.591",-29.25,"CARD_TRANSACTION","8750ffdb-697e-4de1-aca0-f76c6493be06"
"Coles (Logan Central)","2024-06-11 03:08:43.118",-9.55,"CARD_TRANSACTION","44834e6d-f36d-4270-87d0-9a0284b3b2ac"
"Andrew Barton Laundry Systems","2024-06-11 02:52:16.260",-15,"CARD_TRANSACTION","c4661cef-fc6a-47b7-b2c8-ea5bd6983f5c"
"VG Bakery (Showgrounds Shopping Centre)","2024-06-11 02:41:58.993",-10.4,"CARD_TRANSACTION","70076e41-83ee-40ab-82dc-fc72fb745785"
"Wendy's (Elizabeth Shopping Centre)","2024-06-11 02:38:10.007",-24.29,"CARD_TRANSACTION","3a780afa-850d-47d9-b1f9-5230f9e8fff8"
"Woolworths (Westfield North Lakes)","2024-06-11 02:21:44.108",-104.16,"CARD_TRANSACTION","a4b2cdb0-39ee-42bb-8eeb-0b6e794d2e9a"
"Marrickville Pork Roll","2024-06-11 02:13:58.921",-12.68,"CARD_TRANSACTION","7669f8f3-8b48-4670-b7a9-d352502aeccb"
"Peninsula Coffee Lab","2024-06-11 02:09:17.604",-8,"CARD_TRANSACTION","a087d4b2-30f3-41bc-96f0-bd4f7f5375c9"
"Hungry Jack's","2024-06-11 02:04:03.874",-14.95,"CARD_TRANSACTION","8097934a-bfc3-4666-8be6-1945c64e0017"
"Australia Post (Paddington Post Shop)","2024-06-11 01:30:38.715",-1.5,"CARD_TRANSACTION","6680326c-ce30-4c44-a126-6d38f6e8a233"
"AMP","2024-06-11 01:24:01.083",-4.5,"CARD_TRANSACTION","17dfa86c-ecee-4e30-9b1a-5050060b03c4"
"QE Foodstores (Balmain)","2024-06-11 01:23:11.936",-7.99,"CARD_TRANSACTION","590d86bc-a141-4783-aa70-6c516e4ea2c8"
"Heart Rock Cafe","2024-06-11 01:22:19.156",-5,"CARD_TRANSACTION","b3dc9b1c-e9c1-4c25-af7a-fe40088398e2"
"Apple (App Store)","2024-06-11 01:17:45.891",-21.98,"CARD_TRANSACTION","aca34815-1a94-43ff-a311-19bc5946330a"
"Skip","2024-06-11 00:52:29.289",-5.61,"CARD_TRANSACTION","edde1d31-2069-45c9-8511-ab85ddd388f3"
"TPG Telecom","2024-06-11 00:17:17.355",-19.99,"CARD_TRANSACTION","b4e5f422-c6f6-47a6-95e4-8fb043b0c419"
"Paypal *speerlabora","2024-06-11 00:15:53.582",-138.58,"CARD_TRANSACTION","79817a63-5322-436e-b2ae-47d73f26e64a"
"Transport NSW","2024-06-11 00:07:15.055",-1,"CARD_TRANSACTION","94d92d76-a49b-473b-9453-f53fb6fa0224"
"Zeller","2024-06-10 23:46:30.196",-9.5,"CARD_TRANSACTION","ff58c2ab-a1d4-47ef-8c2c-81c8a08e7582"
"Liquorland (Corrimal)","2024-06-10 23:24:02.617",-21.25,"CARD_TRANSACTION","9f2b44f2-07ae-4691-8dfb-cc7cbfef232c"
"PayPal (Pay in 4)","2024-06-10 23:19:05.352",-34.5,"CARD_TRANSACTION","07cd6381-88e0-4540-8edb-7bee42fcda8e"
"Square","2024-06-10 23:12:59.655",-5,"CARD_TRANSACTION","9a901024-b254-43dc-b07c-eca556588ff2"
"Veneziano Coffee Roasters (Surry Hills)","2024-06-10 23:11:43.437",-6.06,"CARD_TRANSACTION","ab39dc23-7c6a-4af1-80db-e9317f74300b"
"McDonald's (St Clair)","2024-06-10 23:06:03.756",-11.3,"CARD_TRANSACTION","148d43e6-b649-427d-ac56-51fa39767ed3"
"Petbarn (Browns Plains)","2024-06-10 23:03:30.111",-88.96,"CARD_TRANSACTION","ed623fa3-cd6d-4283-b419-d92b684d43e5"
"Portelatte Co Pty Lt","2024-06-10 22:51:05.293",-12.6,"CARD_TRANSACTION","e6159dd2-cb43-4e5a-abfa-6fe99d0b683f"
"Woolworths (Unanderra)","2024-06-10 22:40:04.482",-98.2,"CARD_TRANSACTION","4f730437-7135-460a-a701-1fa92ee167b7"
"McDonald's (Forest Lake)","2024-06-10 22:31:48.732",-41,"CARD_TRANSACTION","78041f0b-572f-4ae3-9b27-d636f5a0adb6"
"Transport NSW","2024-06-10 22:27:59.742",-1,"CARD_TRANSACTION","86d82e01-d45e-43f4-9d9e-19191833f70f"
"Coles (Springwood)","2024-06-10 22:23:28.254",-4.5,"CARD_TRANSACTION","dc1b5247-4219-4ffa-ac41-836e201d42e4"
"Black Toque Patisserie","2024-06-10 21:45:34.251",-10.8,"CARD_TRANSACTION","29fd3526-5452-4c33-9229-760fb6b47d93"
"Padre Coffee (Paddington)","2024-06-10 21:36:21.519",-12.16,"CARD_TRANSACTION","0a6d854a-de52-46ed-96cb-5a11bdc465d8"
"Coles Express (Northmead)","2024-06-10 21:33:27.014",-7.5,"CARD_TRANSACTION","bf81dbf3-c48d-47d1-94ff-a5d72b343ed1"
"Cali Press (Quay Quarter)","2024-06-10 21:32:33.111",-19.65,"CARD_TRANSACTION","4b94a432-921b-46a7-a409-7ce3c90994c8"
"Afterpay","2024-06-10 17:24:24.648",-11.67,"CARD_TRANSACTION","463be3f7-5644-4d53-a04b-5f924da11bb7"
"Apple (App Store)","2024-06-10 13:53:29.051",-14.99,"CARD_TRANSACTION","be94ee90-5194-4e24-a688-f5ded728d381"
"BP (Marsden Park)","2024-06-10 11:13:43.694",-51.98,"CARD_TRANSACTION","ca765c65-fca0-4d33-9a23-2f96b02a20d5"
"ALDI (Sandgate)","2024-06-10 09:59:29.552",-74.42,"CARD_TRANSACTION","fd2c5555-be93-42c7-8e46-2da1a6082376"
"Chemist Warehouse (Cranbourne North)","2024-06-10 08:57:13.762",-19.99,"CARD_TRANSACTION","66b03061-8d71-46af-8f5b-49f52ca460d8"
"Myki Payments","2024-06-10 08:49:46.506",-10,"CARD_TRANSACTION","9646c0ba-681b-42cb-b6af-9dcbb047de83"
"Noori Market Pty Ltd","2024-06-10 08:37:11.032",-15,"CARD_TRANSACTION","db8e4d5d-14d0-4899-9079-473fd44101a9"
"United Petroleum (Lidsdale)","2024-06-10 06:59:53.928",-68.2,"CARD_TRANSACTION","c964d47e-c6cd-45e4-93d4-a2005a5b2235"
"Bethania Pharmacy","2024-06-10 06:19:58.684",-24.64,"CARD_TRANSACTION","2f92e5eb-a827-4317-a967-c8cffe591799"
"Kmart (Oxenford)","2024-06-10 06:05:43.735",-16.5,"CARD_TRANSACTION","e0536d82-121c-44df-a8ae-60a1d20ed964"
"Hallani's 7 Day Convenience Store","2024-06-10 05:54:19.911",-48.9,"CARD_TRANSACTION","0e1909e4-637c-46c3-a662-988af3a86263"
"Kingswood Tobacco Gi","2024-06-10 05:51:21.321",-25,"CARD_TRANSACTION","6c970772-b805-4a0a-a879-ce601f798950"
"Bunnings (Oxenford)","2024-06-10 05:49:53.872",-88.56,"CARD_TRANSACTION","fce76c82-b9f2-4973-b83b-1d23c741b871"
"BWS (Dakabin)","2024-06-10 05:45:24.589",-40.5,"CARD_TRANSACTION","13792e07-ceff-4173-8365-5d06caf120b7"
"Alleyway Kitchen","2024-06-10 05:17:53.976",-15.8,"CARD_TRANSACTION","685ba894-e5ba-40bd-912f-f927e9706945"
"Grill'd (Westfield Southland)","2024-06-10 05:01:22.795",-29.21,"CARD_TRANSACTION","938f8887-0d98-4578-9d51-5c029e0770a4"
"Fresh & Save (Deagon)","2024-06-10 04:56:00.592",-12.95,"CARD_TRANSACTION","d5776c30-54dc-4d92-915f-2067a5d92cb7"
"BWS (Corio)","2024-06-10 04:40:04.415",-10,"CARD_TRANSACTION","f51cdf5e-7233-44b9-b218-2ce75ab711ab"
"Woolworths (Corio)","2024-06-10 04:37:35.478",-50,"CARD_TRANSACTION","ebfd2ad5-b940-4f7d-9145-8825d3623041"
"Smartpay Australia","2024-06-10 04:25:59.692",-4.98,"CARD_TRANSACTION","999bba7d-036d-459a-a44c-2a21bb3907b4"
"Bakers Delight (Cockburn Gateway)","2024-06-10 04:17:07.564",-4.7,"CARD_TRANSACTION","944bfa68-c229-4947-a410-3fde4ad97129"
"Smartpay Australia","2024-06-10 04:13:06.989",-23.68,"CARD_TRANSACTION","1a93b132-3c45-437e-9076-cf2f1b53dd9c"
